Package	Version	LibPath
wk	0.9.5	~/.local/lib/R/site-library
xfun	0.60	~/.local/lib/R/site-library
XML	3.99-0.24	~/.local/lib/R/site-library
xml2	1.6.0	~/.local/lib/R/site-library
xmlparsedata	1.0.5	~/.local/lib/R/site-library
xopen	1.0.1	~/.local/lib/R/site-library
xtable	1.8-8	~/.local/lib/R/site-library
xts	0.14.2	~/.local/lib/R/site-library
yaml	2.3.12	~/.local/lib/R/site-library
yyjsonr	0.1.22	~/.local/lib/R/site-library
zip	3.0.2	~/.local/lib/R/site-library
zoo	1.9-0	~/.local/lib/R/site-library
littler	0.3.23	/usr/lib/R/site-library
base	4.6.1	/usr/lib/R/library
boot	1.3-32	/usr/lib/R/library
class	7.3-24	/usr/lib/R/library
codetools	0.2-20	/usr/lib/R/library
compiler	4.6.1	/usr/lib/R/library
datasets	4.6.1	/usr/lib/R/library
foreign	0.8-91	/usr/lib/R/library
graphics	4.6.1	/usr/lib/R/library
grDevices	4.6.1	/usr/lib/R/library
grid	4.6.1	/usr/lib/R/library
KernSmooth	2.23-27	/usr/lib/R/library
lattice	0.23-1	/usr/lib/R/library
MASS	7.3-66	/usr/lib/R/library
Matrix	1.7-6	/usr/lib/R/library
methods	4.6.1	/usr/lib/R/library
mgcv	1.9-4	/usr/lib/R/library
nlme	3.1-171	/usr/lib/R/library
nnet	7.3-21	/usr/lib/R/library
parallel	4.6.1	/usr/lib/R/library
rpart	4.1.27	/usr/lib/R/library
splines	4.6.1	/usr/lib/R/library
stats	4.6.1	/usr/lib/R/library
stats4	4.6.1	/usr/lib/R/library
survival	3.8-11	/usr/lib/R/library
tcltk	4.6.1	/usr/lib/R/library
tools	4.6.1	/usr/lib/R/library
utils	4.6.1	/usr/lib/R/library
