Package	Version	LibPath	Priority
rpart	4.1.27	/home/phili/.local/lib/R/site-library	recommended
RPostgres	1.4.10	/home/phili/.local/lib/R/site-library	NA
RPostgreSQL	0.7-8	/home/phili/.local/lib/R/site-library	NA
rprojroot	2.1.1	/home/phili/.local/lib/R/site-library	NA
rsconnect	1.8.0	/home/phili/R/library	NA
rSPDE	2.6.0	/home/phili/.local/lib/R/site-library	NA
RSpectra	0.16-2	/home/phili/.local/lib/R/site-library	NA
RSQLite	3.53.1	/home/phili/.local/lib/R/site-library	NA
rstan	2.32.7	/home/phili/R/library	NA
rstantools	2.7.1	/home/phili/R/library	NA
rstatix	1.1.0	/home/phili/.local/lib/R/site-library	NA
rstudioapi	0.19.0	/home/phili/.local/lib/R/site-library	NA
rticles	0.27	/home/phili/R/library	NA
rversions	3.0.0	/home/phili/.local/lib/R/site-library	NA
rvest	1.0.5	/home/phili/R/library	NA
s2	1.1.12	/home/phili/.local/lib/R/site-library	NA
S7	0.2.2	/home/phili/.local/lib/R/site-library	NA
sandwich	3.1-1	/home/phili/R/library	NA
sass	0.4.10	/home/phili/.local/lib/R/site-library	NA
satellite	1.0.6	/home/phili/.local/lib/R/site-library	NA
scales	1.4.0	/home/phili/.local/lib/R/site-library	NA
scs	3.2.7	/home/phili/R/library	NA
selectr	0.5-1	/home/phili/R/library	NA
servr	0.32	/home/phili/.local/lib/R/site-library	NA
sessioninfo	1.2.4	/home/phili/.local/lib/R/site-library	NA
sf	1.1-2	/home/phili/.local/lib/R/site-library	NA
sfheaders	0.4.5	/home/phili/.local/lib/R/site-library	NA
sfsmisc	1.1-25	/home/phili/R/library	NA
sftime	0.3.2	/home/phili/.local/lib/R/site-library	NA
shape	1.4.6.1	/home/phili/R/library	NA
shiny	1.13.0	/home/phili/R/library	NA
SILGGM	1.0.0	/home/phili/R/library	NA
slam	0.1-56	/home/phili/R/library	NA
sm	2.2-6.0	/home/phili/R/library	NA
smoothr	1.3.0	/home/phili/.local/lib/R/site-library	NA
sn	2.1.3	/home/phili/.local/lib/R/site-library	NA
sna	2.8	/home/phili/R/library	NA
snow	0.4-4	/home/phili/R/library	NA
snowfall	1.84-6.3	/home/phili/R/library	NA
snowflakeauth	0.2.2	/home/phili/R/library	NA
sourcetools	0.1.7-2	/home/phili/.local/lib/R/site-library	NA
sp	2.2-3	/home/phili/.local/lib/R/site-library	NA
spacesXYZ	1.6-0	/home/phili/.local/lib/R/site-library	NA
spacetime	1.3-4	/home/phili/.local/lib/R/site-library	NA
spam	2.11-4	/home/phili/.local/lib/R/site-library	NA
spam64	2.11-4	/home/phili/.local/lib/R/site-library	NA
sparseinv	0.1.4	/home/phili/.local/lib/R/site-library	NA
SparseM	1.84-2	/home/phili/.local/lib/R/site-library	NA
spatial	7.3-19	/home/phili/.local/lib/R/site-library	recommended
spatialreg	1.4-3	/home/phili/R/library	NA
spatstat	3.6-1	/home/phili/.local/lib/R/site-library	NA
spatstat.data	3.1-9	/home/phili/.local/lib/R/site-library	NA
spatstat.explore	3.8-1	/home/phili/.local/lib/R/site-library	NA
spatstat.geom	3.8-1	/home/phili/.local/lib/R/site-library	NA
spatstat.linnet	3.5-1	/home/phili/.local/lib/R/site-library	NA
spatstat.model	3.7-1	/home/phili/.local/lib/R/site-library	NA
spatstat.random	3.5-0	/home/phili/.local/lib/R/site-library	NA
spatstat.sparse	3.2-0	/home/phili/.local/lib/R/site-library	NA
spatstat.univar	3.2-0	/home/phili/.local/lib/R/site-library	NA
spatstat.utils	3.2-4	/home/phili/.local/lib/R/site-library	NA
spData	2.3.5	/home/phili/.local/lib/R/site-library	NA
spdep	1.4-2	/home/phili/.local/lib/R/site-library	NA
spectralGP	1.3.4	/home/phili/.local/lib/R/site-library	NA
spelling	2.3.2	/home/phili/R/library	NA
splancs	2.01-45	/home/phili/.local/lib/R/site-library	NA
splines	4.6.1	/usr/lib/R/library	base
ssgraph	1.16	/home/phili/R/library	NA
stabs	0.7-1	/home/phili/R/library	NA
StanHeaders	2.39.1	/home/phili/R/library	NA
stars	0.7-3	/home/phili/.local/lib/R/site-library	NA
statmod	1.5.2	/home/phili/.local/lib/R/site-library	NA
statnet.common	4.13.0	/home/phili/R/library	NA
stats	4.6.1	/usr/lib/R/library	base
stats4	4.6.1	/usr/lib/R/library	base
stringdist	0.9.17	/home/phili/.local/lib/R/site-library	NA
stringfish	0.19.2	/home/phili/R/library	NA
stringi	1.8.9	/home/phili/.local/lib/R/site-library	NA
stringr	1.6.0	/home/phili/.local/lib/R/site-library	NA
styler	1.11.0	/home/phili/.local/lib/R/site-library	NA
survival	3.8-11	/home/phili/.local/lib/R/site-library	recommended
svglite	2.2.2	/home/phili/R/library	NA
sys	3.4.3	/home/phili/.local/lib/R/site-library	NA
systemfonts	1.3.2	/home/phili/.local/lib/R/site-library	NA
tcltk	4.6.1	/usr/lib/R/library	base
tensor	1.5.1	/home/phili/.local/lib/R/site-library	NA
tensorA	0.36.2.1	/home/phili/.local/lib/R/site-library	NA
terra	1.9-46	/home/phili/.local/lib/R/site-library	NA
testthat	3.3.2	/home/phili/.local/lib/R/site-library	NA
textshaping	1.0.5	/home/phili/.local/lib/R/site-library	NA
TH.data	1.1-5	/home/phili/R/library	NA
tibble	3.3.1	/home/phili/.local/lib/R/site-library	NA
tidyr	1.3.2	/home/phili/.local/lib/R/site-library	NA
tidyselect	1.2.1	/home/phili/.local/lib/R/site-library	NA
tidyterra	1.1.0	/home/phili/.local/lib/R/site-library	NA
timechange	0.4.0	/home/phili/.local/lib/R/site-library	NA
timeDate	4052.112	/home/phili/.local/lib/R/site-library	NA
timeSeries	4052.112	/home/phili/R/library	NA
tinytex	0.60	/home/phili/.local/lib/R/site-library	NA
tmap	4.3	/home/phili/.local/lib/R/site-library	NA
tmaptools	3.3	/home/phili/.local/lib/R/site-library	NA
TMB	1.9.25	/home/phili/.local/lib/R/site-library	NA
tools	4.6.1	/usr/lib/R/library	base
truncdist	1.0-2	/home/phili/R/library	NA
truncnorm	1.0-9	/home/phili/R/library	NA
trust	0.1-9	/home/phili/R/library	NA
tzdb	0.5.0	/home/phili/.local/lib/R/site-library	NA
units	1.0-1	/home/phili/.local/lib/R/site-library	NA
urca	1.3-4	/home/phili/.local/lib/R/site-library	NA
urlchecker	2.0.0	/home/phili/.local/lib/R/site-library	NA
usethis	3.2.1	/home/phili/R/library	NA
utf8	1.2.6	/home/phili/.local/lib/R/site-library	NA
utils	4.6.1	/usr/lib/R/library	base
uuid	1.2-2	/home/phili/.local/lib/R/site-library	NA
vctrs	0.7.3	/home/phili/.local/lib/R/site-library	NA
vdiffr	1.0.9	/home/phili/R/library	NA
verification	1.45	/home/phili/R/library	NA
viridis	0.6.5	/home/phili/.local/lib/R/site-library	NA
viridisLite	0.4.3	/home/phili/.local/lib/R/site-library	NA
waldo	0.6.2	/home/phili/.local/lib/R/site-library	NA
whisker	0.4.1	/home/phili/.local/lib/R/site-library	NA
withr	3.0.3	/home/phili/.local/lib/R/site-library	NA
wk	0.9.5	/home/phili/.local/lib/R/site-library	NA
xfun	0.60	/home/phili/.local/lib/R/site-library	NA
XML	3.99-0.24	/home/phili/.local/lib/R/site-library	NA
